config_id,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,ess_floor,cond_ref,gamma_ess_scale,gamma_cond_scale,pooled_gap_mean,pooled_p_value,pooled_test,pooled_n_pairs,stability_mse_mean,pooled_mse_mean,holm_adjusted_p,stability_beats_pooled,holm_significant
cfg_0009,0.1,0.0,0.0,1e-05,logistic_ratio_proxy,none,8,True,200.0,120.0,0.8,0.25,-0.004277259398356708,0.017171300013161073,paired_wilcoxon,25,0.08143964538135527,0.08571690477971197,1.0,True,False
cfg_0104,0.1,0.1,0.0,1e-05,logistic_ratio_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.004277259398356708,0.017171300013161073,paired_wilcoxon,25,0.08143964538135527,0.08571690477971197,1.0,True,False
cfg_0105,0.1,0.1,0.0,1e-05,logistic_ratio_proxy,none,8,True,200.0,120.0,0.8,0.25,-0.004277259398356708,0.017171300013161073,paired_wilcoxon,25,0.08143964538135527,0.08571690477971197,1.0,True,False
cfg_0024,0.1,0.0,0.0,0.0001,logistic_ratio_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.004277245462336155,0.017171300013161073,paired_wilcoxon,25,0.08143965911201594,0.0857169045743521,1.0,True,False
cfg_0025,0.1,0.0,0.0,0.0001,logistic_ratio_proxy,none,8,True,200.0,120.0,0.8,0.25,-0.004277245462336155,0.017171300013161073,paired_wilcoxon,25,0.08143965911201594,0.0857169045743521,1.0,True,False
cfg_0120,0.1,0.1,0.0,0.0001,logistic_ratio_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.004277245462336155,0.017171300013161073,paired_wilcoxon,25,0.08143965911201594,0.0857169045743521,1.0,True,False
cfg_0121,0.1,0.1,0.0,0.0001,logistic_ratio_proxy,none,8,True,200.0,120.0,0.8,0.25,-0.004277245462336155,0.017171300013161073,paired_wilcoxon,25,0.08143965911201594,0.0857169045743521,1.0,True,False
cfg_0173,0.1,0.1,0.5,1e-05,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.0042265989467488805,0.048681111687963734,paired_wilcoxon,25,0.08164285967235439,0.08586945861910326,1.0,True,False
cfg_0189,0.1,0.1,0.5,0.0001,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.004226573626947862,0.048681111687963734,paired_wilcoxon,25,0.08164288479241674,0.08586945841936461,1.0,True,False
cfg_0077,0.1,0.0,0.5,1e-05,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.004225339332407391,0.048681111687963734,paired_wilcoxon,25,0.08164411928669589,0.08586945861910326,1.0,True,False
cfg_0093,0.1,0.0,0.5,0.0001,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.004225314304426301,0.048681111687963734,paired_wilcoxon,25,0.08164414411493831,0.08586945841936461,1.0,True,False
cfg_0076,0.1,0.0,0.5,1e-05,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.004187145750291492,0.043476925902070605,paired_wilcoxon,25,0.08168231286881177,0.08586945861910326,1.0,True,False
cfg_0092,0.1,0.0,0.5,0.0001,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.004187120481261221,0.043476925902070605,paired_wilcoxon,25,0.0816823379381034,0.08586945841936461,1.0,True,False
cfg_0045,0.1,0.0,0.1,1e-05,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.004087728889334191,0.017171300013161073,paired_wilcoxon,25,0.08178172972976908,0.08586945861910326,1.0,True,False
