setting,seed,method,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,target_mse,ess,condition_number,ratio_uncertainty,weight_second_moment,target_excess_risk_vs_oracle,regret_gap_to_oracle_selected_source,gamma_effective
B,89,single_source_unweighted_LS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.12387672213127984,1199.999999999999,26.718153259658475,0.0,1.0,-0.0014560891320535563,-0.0014560891320535563,0.5425335608067966
B,89,mixed_shift_gate_plus_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.14247759724350484,45.01374231957606,12.532464319422017,0.8480922322388424,26.658525554349914,0.01714478598017144,0.01714478598017144,0.5425335608067966
B,89,oracle_best_source_retrospective,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.1253328112633334,1200.0,48.63898207237229,0.052924695828207566,0.9999999997031735,0.0,0.0,0.5425335608067966
B,131,stability_aware_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.1285456988868116,1055.105642651191,38.57588188068077,0.22220349585811533,1.137326871500828,0.0,0.0,0.5348426857508619
B,131,random_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.12973457484456405,1200.0,37.98152371389576,0.0016354774893099265,0.9999999997031735,0.0011888759577524388,0.0011888759577524388,0.5348426857508619
B,131,mmd_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.17977337937921783,40.53978346260409,32.450523385809355,1.9473037699377116,29.60055277766484,0.051227680492406225,0.051227680492406225,0.5348426857508619
B,131,wasserstein_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.17977337937921783,40.53978346260409,32.450523385809355,1.9473037699377116,29.60055277766484,0.051227680492406225,0.051227680492406225,0.5348426857508619
B,131,pooled_source_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.17475523319128303,383.5039092688011,22.039262375096,2.7605132114487603,25.032339352762367,0.04620953430447142,0.04620953430447142,0.5348426857508619
B,131,single_source_unweighted_LS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.12922727424419317,1199.999999999999,18.422119145138208,0.0,1.0,0.0006815753573815586,0.0006815753573815586,0.5348426857508619
B,131,mixed_shift_gate_plus_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.1285456988868116,1055.105642651191,38.57588188068077,0.22220349585811533,1.137326871500828,0.0,0.0,0.5348426857508619
B,131,oracle_best_source_retrospective,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.1285456988868116,1055.105642651191,38.57588188068077,0.22220349585811533,1.137326871500828,0.0,0.0,0.5348426857508619
C,11,stability_aware_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.19920846020474664,1198.4997949459225,47.38222419239893,0.07564707315077171,1.001251735465936,0.00014501093001803578,0.00014501093001803578,0.5415985277518683
C,11,random_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.1990634492747286,1200.0,50.53868598485393,0.021156761755179745,0.9999999997031735,0.0,0.0,0.5415985277518683
C,11,mmd_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.2102412854849987,1195.600446918457,46.607536072124866,0.048387021645463234,1.0036797851147288,0.011177836210270103,0.011177836210270103,0.5415985277518683
C,11,wasserstein_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.2102412854849987,1195.600446918457,46.607536072124866,0.048387021645463234,1.0036797851147288,0.011177836210270103,0.011177836210270103,0.5415985277518683
C,11,pooled_source_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.20439113367829886,6304.39096253692,6.129169963781321,0.16868940901015633,1.5227482011320999,0.00532768440357026,0.00532768440357026,0.5415985277518683
C,11,single_source_unweighted_LS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.20921458218322286,1199.999999999999,46.78106743058478,0.0,1.0,0.01015113290849426,0.01015113290849426,0.5415985277518683
C,11,mixed_shift_gate_plus_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.19920846020474664,1198.4997949459225,47.38222419239893,0.07564707315077171,1.001251735465936,0.00014501093001803578,0.00014501093001803578,0.5415985277518683
C,11,oracle_best_source_retrospective,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.1990634492747286,1200.0,50.53868598485393,0.021156761755179745,0.9999999997031735,0.0,0.0,0.5415985277518683
C,23,stability_aware_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.17976425488117986,1197.8613883189767,79.09575531800265,0.0742061355146104,1.0017853579281435,0.0,0.0,0.5632867685892244
C,23,random_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.1802519880045122,1200.0,64.60120107716133,0.0003275003097244354,0.9999999997031735,0.00048773312333233454,0.00048773312333233454,0.5632867685892244
C,23,mmd_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.5783755025076529,38.94647049913298,19.198165537494493,1.1463144079331853,30.81152116156142,0.39861124762647304,0.39861124762647304,0.5632867685892244
C,23,wasserstein_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.5783755025076529,38.94647049913298,19.198165537494493,1.1463144079331853,30.81152116156142,0.39861124762647304,0.39861124762647304,0.5632867685892244
C,23,pooled_source_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.24659284488825464,451.8312521367854,7.5024379643503085,1.9113793351358281,21.246870273815134,0.06682859000707478,0.06682859000707478,0.5632867685892244
C,23,single_source_unweighted_LS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.5476781153902438,1199.999999999999,26.608960335738832,0.0,1.0,0.36791386050906394,0.36791386050906394,0.5632867685892244
C,23,mixed_shift_gate_plus_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.20405251215867393,223.78052678596185,38.66249810103141,0.42652946816279647,5.3623968849688195,0.024288257277494063,0.024288257277494063,0.5632867685892244
C,23,oracle_best_source_retrospective,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.17976425488117986,1197.8613883189767,79.09575531800265,0.0742061355146104,1.0017853579281435,0.0,0.0,0.5632867685892244
C,47,stability_aware_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.22029997982683344,1197.20821625036,38.40905436431027,0.0864986442780371,1.002331911322819,0.0,0.0,0.5347111120444347
C,47,random_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.22029997982683344,1197.20821625036,38.40905436431027,0.0864986442780371,1.002331911322819,0.0,0.0,0.5347111120444347
C,47,mmd_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.24256949577826806,56.40335370646095,23.367897421226004,0.9029618003551665,21.275330650717613,0.022269515951434615,0.022269515951434615,0.5347111120444347
C,47,wasserstein_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.24256949577826806,56.40335370646095,23.367897421226004,0.9029618003551665,21.275330650717613,0.022269515951434615,0.022269515951434615,0.5347111120444347
C,47,pooled_source_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.23432602025725643,382.7773403524691,14.484780045668897,1.6441434359989813,25.079854494331666,0.014026040430422992,0.014026040430422992,0.5347111120444347
C,47,single_source_unweighted_LS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.22050394491177702,1199.999999999999,34.40908199385591,0.0,1.0,0.00020396508494358034,0.00020396508494358034,0.5347111120444347
C,47,mixed_shift_gate_plus_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.31468470316237046,501.7789228033867,57.58507321290006,0.19549889418285227,2.391491442080093,0.09438472333553702,0.09438472333553702,0.5347111120444347
C,47,oracle_best_source_retrospective,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.22029997982683344,1197.20821625036,38.40905436431027,0.0864986442780371,1.002331911322819,0.0,0.0,0.5347111120444347
C,89,stability_aware_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.20392721010620907,904.6401809393699,31.415425894431284,0.160417780722062,1.3264942514750468,0.003137593719336307,0.003137593719336307,0.5290669351711778
C,89,random_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.29982756212502143,155.72960525795872,30.990348596783264,0.3648932480318848,7.705663915294272,0.09903794573814867,0.09903794573814867,0.5290669351711778
C,89,mmd_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.31577463340231976,80.10309337358633,40.071840727048865,0.5722238376756866,14.98069486835771,0.114985017015447,0.114985017015447,0.5290669351711778
C,89,wasserstein_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.20078961638687276,633.6146133400028,46.05256994274332,0.18773412985691393,1.8938957126776161,0.0,0.0,0.5290669351711778
C,89,pooled_source_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.21733183437101028,461.47910587676085,11.884839989511175,1.0482265904756134,20.802675304690172,0.01654221798413752,0.01654221798413752,0.5290669351711778
C,89,single_source_unweighted_LS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.2047777740158527,1199.999999999999,40.78696076690912,0.0,1.0,0.003988157628979944,0.003988157628979944,0.5290669351711778
C,89,mixed_shift_gate_plus_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.20078961638687276,633.6146133400028,46.05256994274332,0.18773412985691393,1.8938957126776161,0.0,0.0,0.5290669351711778
C,89,oracle_best_source_retrospective,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.20078961638687276,633.6146133400028,46.05256994274332,0.18773412985691393,1.8938957126776161,0.0,0.0,0.5290669351711778
